Token        Lexeme
-------------------------
keyword    Function
identifier temperatureConverter
separator  {
keyword    Real
identifier fahrenheit
separator  ,
identifier celsius
separator  ,
identifier kelvin
separator  ;
operator   /
operator   /
keyword    Get
identifier Fahrenheit
identifier input
identifier from
identifier the
identifier user
keyword    Get
separator  (
identifier fahrenheit
separator  )
separator  ;
operator   /
operator   /
identifier Convert
identifier Fahrenheit
identifier to
identifier Celsius
identifier celsius
operator   =
separator  (
identifier fahrenheit
operator   -
integer    32
separator  )
operator   *
integer    5
operator   /
integer    9
separator  ;
operator   /
operator   /
identifier Convert
identifier Celsius
identifier to
identifier Kelvin
identifier kelvin
operator   =
identifier celsius
operator   +
real       273.15
separator  ;
operator   /
operator   /
identifier Output
identifier the
identifier Celsius
identifier and
identifier Kelvin
identifier temperatures
keyword    Put
separator  (
invalid    "
identifier Celsius
separator  :
invalid    "
separator  )
separator  ;
keyword    Put
separator  (
identifier celsius
separator  )
separator  ;
keyword    Put
separator  (
invalid    "
identifier Kelvin
separator  :
invalid    "
separator  )
separator  ;
keyword    Put
separator  (
identifier kelvin
separator  )
separator  ;
operator   /
operator   /
identifier Check
identifier if
identifier it
invalid    '
identifier s
identifier below
identifier freezing
identifier point
keyword    If
separator  (
identifier celsius
operator   <
real       0.0
separator  )
separator  {
keyword    Put
separator  (
invalid    "
identifier Below
identifier freezing
identifier point
invalid    "
separator  )
separator  ;
separator  }
keyword    Else
separator  {
keyword    Put
separator  (
invalid    "
identifier Above
identifier freezing
identifier point
invalid    "
separator  )
separator  ;
separator  }
operator   /
operator   /
identifier Check
identifier if
identifier it
invalid    '
identifier s
identifier at
identifier boiling
identifier point
keyword    If
separator  (
identifier celsius
operator   >=
real       100.0
separator  )
separator  {
keyword    Put
separator  (
invalid    "
identifier At
identifier or
identifier above
identifier boiling
identifier point
invalid    "
separator  )
separator  ;
separator  }
keyword    Else
separator  {
keyword    Put
separator  (
invalid    "
identifier Below
identifier boiling
identifier point
invalid    "
separator  )
separator  ;
separator  }
operator   /
operator   /
identifier Additional
identifier check
identifier for
identifier absolute
identifier zero
separator  (
identifier impossible
identifier in
identifier real
identifier conditions
separator  )
keyword    If
separator  (
identifier kelvin
operator   <=
real       0.0
separator  )
separator  {
keyword    Put
separator  (
invalid    "
identifier Error
separator  :
identifier Below
identifier absolute
identifier zero
invalid    "
separator  )
separator  ;
separator  }
operator   /
operator   /
identifier Output
identifier temperature
identifier categories
keyword    If
separator  (
identifier celsius
operator   >
real       30.0
separator  )
separator  {
keyword    Put
separator  (
invalid    "
identifier Hot
identifier weather
invalid    "
separator  )
separator  ;
separator  }
identifier ElseIf
separator  (
identifier celsius
operator   <=
real       30.0
invalid    &
invalid    &
identifier celsius
operator   >
real       15.0
separator  )
separator  {
keyword    Put
separator  (
invalid    "
identifier Warm
identifier weather
invalid    "
separator  )
separator  ;
separator  }
keyword    Else
separator  {
keyword    Put
separator  (
invalid    "
identifier Cold
identifier weather
invalid    "
separator  )
separator  ;
separator  }
keyword    Return
separator  ;
separator  }
