Token        Lexeme
-------------------------
keyword    Function
identifier testFunc
separator  {
keyword    Integer
identifier a
separator  ;
keyword    Real
identifier b
separator  ;
identifier a
operator   =
integer    5
separator  ;
identifier b
operator   =
identifier a
operator   +
real       3.14
separator  ;
keyword    If
separator  (
identifier a
operator   >
integer    3
separator  )
separator  {
keyword    Put
separator  (
identifier b
separator  )
separator  ;
separator  }
keyword    Else
separator  {
identifier a
operator   =
integer    10
separator  ;
separator  }
keyword    Return
separator  ;
separator  }
